District name,District ID,Elected office,First name,Last name,Gender,Party name,Email,URL,Photo URL,Personal URL,Office type,Address line 1,Address line 2,Locality,Postal code,Province,Phone,Fax
Barrhaven,3,Councillor,Jan,Harder,F,,Jan.Harder@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/j_harder/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdyw/~edisp/wc020017_123477665.jpg,,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2473,613-580-2513
Kitchissippi,15,Councillor,Katherine,Hobbs,F,,Katherine.Hobbs@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/k_hobbs/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdu5/~edisp/con017738_123477661.jpg,www.ourkitchissippi.ca,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2485,613-580-2525
Somerset,14,Councillor,Diane,Holmes,F,,Diane.Holmes@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/d_holmes/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdqx/~edisp/wc020028_123477717.jpg,,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2484,613-580-2524
Kanata South,23,Councillor,Allan,Hubley,M,,Allan.Hubley@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/a_hubley/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdy2/~edisp/wc020006_123477725.jpg,http://councillorallanhubley.ca,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2752,613-580-2762
Alta Vista,18,Councillor,Peter,Hume,M,,Peter.Hume@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/p_hume/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdm4/~edisp/wc020002_123477647.jpg,,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2488,613-580-2528
River,16,Councillor,Maria,McRae,F,,Maria.McRae@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/m_mcrae/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdq4/~edisp/wc020011_123477655.jpg,,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2486,613-580-2526
Rideau-Goulbourn,21,Councillor,Scott,Moffatt,M,,Scott.Moffatt@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/s_moffatt/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdu3/~edisp/wc020021_123477633.jpg,rideaugoulbourn.ca,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2491,613-580-2531
Orleans,1,Councillor,Bob,Monette,M,,Bob.Monette@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/b_monette/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdqw/~edisp/wc019986_123477723.jpg,,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2471,613-580-2511
Stittsville,6,Councillor,Shad,Qadri,M,,Shad.Qadri@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/s_qadri/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdu1/~edisp/wc020033_123477631.jpg,,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2476,613-580-2516
Bay,7,Councillor,Mark,Taylor,M,,Mark.Taylor@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/m_taylor/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdyx/~edisp/wc019984_123477653.jpg,www.BayWardLive.ca,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2477,613-580-2517
Beacon Hill-Cyrville,11,Councillor,Tim,Tierney,M,,Timothy.Tierney@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/t_tierney/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdm4/~edisp/wc020013_123477627.jpg,http://www.beaconhillcyrville.ca,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2481,613-580-2521
Osgoode,20,Councillor,Doug,Thompson,M,,Doug.Thompson@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/d_thompson/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdqx/~edisp/wc020027_123477715.jpg,,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2490,613-580-2530
Kanata North,4,Councillor,Marianne,Wilkinson,F,,Marianne.Wilkinson@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/m_wilkinson/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdqy/~edisp/wc020008_123477651.jpg,,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2474,613-580-2514
